version,permissions,expirationDate,statusCode,scenario
1.0,"[""Read"",""Write""]","2022-12-31T12:00:00.000Z",201,Created
1.1,"[""Read""]","2023-01-01T12:00:00.000Z",400,Bad Request
2.0,"[""Write""]","2023-01-02T12:00:00.000Z",401,Unauthorised
2.1,"[""Read"",""Update""]","2023-01-03T12:00:00.000Z",403,Forbidden
3.0,"[""Update"",""Delete""]","2023-01-04T12:00:00.000Z",405,Method Not Allowed
3.1,"[""Write"",""Update""]","2023-01-05T12:00:00.000Z",406,Not Acceptable
4.0,"[""Read"",""Update"",""Delete""]","2023-01-06T12:00:00.000Z",415,Unsupported Media Type
4.1,"[""Read""]","2023-01-07T12:00:00.000Z",429,Too Many Requests
5.0,"[""Read"",""Write"",""Update""]","2023-01-08T12:00:00.000Z",500,Internal Server Error
5.1,"[""Read"",""Update""]","2023-01-09T12:00:00.000Z",503,Service Unavailable
6.0,"[""Read""]","2023-01-10T12:00:00.000Z",504,Gateway Timeout
