version,merchantInstructionIdentification,bankCode,accountIdentification,currency,accountSchemeName,accountSubType,statusCode,scenario
1.0,v12,111,abcd,EUR,BBAN,Current Account,201,Created
1.1,v13,112,efgh,USD,BBAN,Savings Account,
1.2,v14,113,ijkl,GBP,BBAN,Student Account,
1.3,v15,114,lmno,AUD,BBAN,CACC,201,Created
1.4,v16,115,pqrs,CAD,BBAN,CARD,
1.5,v17,116,abcd,DKK,BBAN,DDA - Current & Savings Accounts,201,Created
1.6,v18,117,efgh,SEK,BBAN,CDA - Term Deposits,201,Created
1.7,v19,118,ijkl,JOD,BBAN,ILA - Loans,201,Created
1.8,v20,119,lmno,SZL,BBAN,CCA - Credit Cards,
1.9,v21,120,pqrs,HUF,BBAN,OTH - Other,201,Created
