GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-spring,org.openapitools,OpenApiGeneratorApplication,5,7,0,0,2,2,1,2,1,2
openapi-spring,org.openapitools,RFC3339DateFormat,15,21,0,0,3,7,3,2,3,2
openapi-spring,org.openapitools.api,EventsApi,158,0,24,0,50,0,15,0,3,0
openapi-spring,org.openapitools.api,ApiUtil,27,0,0,0,9,0,2,0,2,0
openapi-spring,org.openapitools.api,AispApi,1166,0,178,0,365,0,106,0,17,0
openapi-spring,org.openapitools.api,OtpconfirmationApi,134,0,20,0,42,0,13,0,3,0
openapi-spring,org.openapitools.api,OtpconfirmationApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,SetupApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,DirectDebitConsentsApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,ReportsApi,134,0,20,0,42,0,13,0,3,0
openapi-spring,org.openapitools.api,AispApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,InstructionsApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,EventsApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,StatusApi,266,0,40,0,83,0,25,0,5,0
openapi-spring,org.openapitools.api,SetupApi,134,0,20,0,42,0,13,0,3,0
openapi-spring,org.openapitools.api,StatusApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,ReportsApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,InstructionsApi,134,0,20,0,42,0,13,0,3,0
openapi-spring,org.openapitools.api,DirectDebitConsentsApi,434,0,66,0,136,0,40,0,7,0
openapi-spring,org.openapitools.model,CashAccount,235,0,18,0,55,0,30,0,21,0
openapi-spring,org.openapitools.model,ErrorInfo,152,0,14,0,37,0,20,0,13,0
openapi-spring,org.openapitools.model,DirectDebitConsentsResponse,127,0,12,0,32,0,18,0,12,0
openapi-spring,org.openapitools.model,ConsentStatusCode,83,0,4,0,14,0,7,0,5,0
openapi-spring,org.openapitools.model,AccountStatus,90,0,4,0,15,0,7,0,5,0
openapi-spring,org.openapitools.model,DirectDebitConsentRequestData,83,0,8,0,21,0,12,0,8,0
openapi-spring,org.openapitools.model,DirectDebitInstructionRequest.SmsLanguageCodeEnum,76,0,4,0,13,0,7,0,5,0
openapi-spring,org.openapitools.model,ReportingRequest.ReportTypeEnum,69,0,4,0,12,0,7,0,5,0
openapi-spring,org.openapitools.model,AccountBalanceResponse,127,0,12,0,32,0,18,0,12,0
openapi-spring,org.openapitools.model,EDDAStatusPullEnquiryResponse,167,0,14,0,41,0,22,0,15,0
openapi-spring,org.openapitools.model,HKError1ExtendedDetails,83,0,8,0,21,0,12,0,8,0
openapi-spring,org.openapitools.model,AccountAvailabilityResponseData.StatusEnum,90,0,4,0,15,0,7,0,5,0
openapi-spring,org.openapitools.model,ParamName,111,0,4,0,18,0,7,0,5,0
